H,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_id,task_description
5,50,48,0.96,0.8653990931249297,0.9889611156723802,58.36,289.62,299.62,0.20150542089634693,4.96101794613616,15.749878979865462,0,put both the alphabet soup and the tomato sauce in the basket
5,50,48,0.96,0.8653990931249297,0.9889611156723802,54.06,269.12,279.12,0.20087693222354341,4.977507016325253,14.874892911911012,1,put both the cream cheese box and the butter in the basket
5,50,45,0.9,0.7863976856252035,0.9565242350681096,56.62,281.48,291.48,0.20115105868978259,4.968528613896564,14.84727266183123,2,turn on the stove and put the moka pot on it
5,50,50,1.0,0.9286524008666414,1.0,46.74,231.56,241.56,0.20184833304543098,4.954189830331083,12.773653147863223,3,put the black bowl in the bottom drawer of the cabinet and close it
5,50,50,1.0,0.9286524008666414,1.0,48.08,238.66,248.66,0.20145814128886283,4.964222015876596,12.774147572014481,4,put the white mug on the left plate and put the yellow and white mug on the right plate
5,50,49,0.98,0.8950455641036219,0.9964607407283539,38.82,192.1,202.1,0.20208224882873504,4.945688718441403,9.631597473993898,5,pick up the book and place it in the back compartment of the caddy
5,50,47,0.94,0.8378290831116182,0.979385029651026,48.46,240.18,250.18,0.20176534265967191,4.953125255557297,12.365389924105257,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
5,50,50,1.0,0.9286524008666414,1.0,54.12,268.94,278.94,0.20123447609132147,4.968402753587543,12.96456878144294,7,put both the alphabet soup and the cream cheese box in the basket
5,50,29,0.58,0.4423344176857823,0.7062499664528802,92.82,462.92,472.92,0.2005098073101184,4.9860537029210015,15.489335675081238,8,put both moka pots on the stove
5,50,44,0.88,0.7619518261679701,0.9438239984906773,59.94,297.94,307.94,0.20118144592871048,4.9672882186064005,10.842823660979047,9,put the yellow and white mug in the microwave and close it
10,50,47,0.94,0.8378290831116182,0.979385029651026,29.3,288.7,298.7,0.10148943540006927,9.844871496161964,9.502684981934726,0,put both the alphabet soup and the tomato sauce in the basket
10,50,49,0.98,0.8950455641036219,0.9964607407283539,25.96,254.36,264.36,0.10206007233841799,9.793797869441349,8.502381325541064,1,put both the cream cheese box and the butter in the basket
10,50,47,0.94,0.8378290831116182,0.979385029651026,26.46,260.24,270.24,0.1016753765754688,9.822112705793353,8.147168478984385,2,turn on the stove and put the moka pot on it
10,50,50,1.0,0.9286524008666414,1.0,22.72,222.76,232.76,0.10199317651283893,9.806880267397661,7.289899563780055,3,put the black bowl in the bottom drawer of the cabinet and close it
10,50,47,0.94,0.8378290831116182,0.979385029651026,25.24,248.0,258.0,0.1017741935483871,9.812447992104518,8.594264881340786,4,put the white mug on the left plate and put the yellow and white mug on the right plate
10,50,49,0.98,0.8950455641036219,0.9964607407283539,18.74,182.82,192.82,0.10250519636801225,9.746397181679688,5.78793274118565,5,pick up the book and place it in the back compartment of the caddy
10,50,47,0.94,0.8378290831116182,0.979385029651026,24.2,237.18,247.18,0.10203221182224471,9.78399171878707,7.77132654148154,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
10,50,50,1.0,0.9286524008666414,1.0,25.96,255.04,265.04,0.1017879548306148,9.82225218551092,7.9316424663737415,7,put both the alphabet soup and the cream cheese box in the basket
10,50,40,0.8,0.6696289406777459,0.887562499842239,43.22,428.66,438.66,0.10082582932860543,9.912642403604183,10.767911268388852,8,put both moka pots on the stove
10,50,49,0.98,0.8950455641036219,0.9964607407283539,27.18,266.54,276.54,0.10197343738275681,9.798354436198412,7.091951052555815,9,put the yellow and white mug in the microwave and close it
