task_id,task_description,success_before,success_after
0,put both the alphabet soup and the tomato sauce in the basket,0.3,0.6
1,put both the cream cheese box and the butter in the basket,0.5,0.9
2,turn on the stove and put the moka pot on it,0.4,0.6
3,put the black bowl in the bottom drawer of the cabinet and close it,0.7,0.8
4,put the white mug on the left plate and put the yellow and white mug on the right plate,0.3,0.5
5,pick up the book and place it in the back compartment of the caddy,0.9,0.8
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,0.3,0.3
7,put both the alphabet soup and the cream cheese box in the basket,0.9,0.7
8,put both moka pots on the stove,0.0,0.0
9,put the yellow and white mug in the microwave and close it,0.3,0.6
