task_id,task_description,step,horizon,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
0,put both the alphabet soup and the tomato sauce in the basket,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,66.5,330.2,340.2,0.2013930950938825,4.965710992984944,16.97987934080884,330.2,66.5,16.97987934080884
1,put both the cream cheese box and the butter in the basket,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,57.7,286.5,296.5,0.2013961605584642,4.967601129760901,15.003540252149104,286.5,57.7,15.003540252149104
2,turn on the stove and put the moka pot on it,0,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,55.7,277.3,287.3,0.20086548864046158,4.976955565204806,14.05047148214653,250.33333333333334,50.333333333333336,12.681560943420562
3,put the black bowl in the bottom drawer of the cabinet and close it,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,46.4,229.6,239.6,0.20209059233449478,4.947986833970546,12.351956878695637,229.6,46.4,12.351956878695637
4,put the white mug on the left plate and put the yellow and white mug on the right plate,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,51.1,253.4,263.4,0.20165745856353592,4.95890696237498,13.64220611564815,253.4,51.1,13.64220611564815
5,pick up the book and place it in the back compartment of the caddy,0,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,53.9,268.7,278.7,0.2005954596203945,4.981708780550886,13.223587466217577,240.77777777777777,48.333333333333336,12.069368738267157
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,0,5,5,50,10,7,0.7,0.39677814746114537,0.8922087325936989,69.3,345.5,355.5,0.20057887120115775,4.982892058378374,17.199372381623835,270.7142857142857,54.42857142857143,13.818727881381554
7,put both the alphabet soup and the cream cheese box in the basket,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,57.2,283.3,293.3,0.20190610660077657,4.9518035337614865,14.242972362414003,283.3,57.2,14.242972362414003
8,put both moka pots on the stove,0,5,5,50,10,4,0.4,0.16818032970623614,0.6873262302663417,97.8,487.9,497.9,0.20045091207214594,4.987386283723309,16.403020079247653,439.75,88.5,13.967194587225094
9,put the yellow and white mug in the microwave and close it,0,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,60.3,299.9,309.9,0.20106702234078025,4.969883415853007,11.49367043543607,275.44444444444446,55.44444444444444,10.904306985851791
0,put both the alphabet soup and the tomato sauce in the basket,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,63.7,315.8,325.8,0.20170994300189993,4.956365873400339,16.677211950533092,315.8,63.7,16.677211950533092
1,put both the cream cheese box and the butter in the basket,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,52.8,262.4,272.4,0.20121951219512196,4.970545918367347,14.406478269491345,262.4,52.8,14.406478269491345
2,turn on the stove and put the moka pot on it,1500,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,58.2,289.2,299.2,0.2012448132780083,4.967298235789794,14.81303211953491,263.55555555555554,53.111111111111114,13.54704654806604
3,put the black bowl in the bottom drawer of the cabinet and close it,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,47.3,234.3,244.3,0.20187793427230047,4.95280452703325,12.610901247523724,234.3,47.3,12.610901247523724
4,put the white mug on the left plate and put the yellow and white mug on the right plate,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,51.5,255.4,265.4,0.20164447924823806,4.958567780389677,13.958542130142451,255.4,51.5,13.958542130142451
5,pick up the book and place it in the back compartment of the caddy,1500,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,44.0,218.0,228.0,0.2018348623853211,4.945626173368991,11.094207693450153,184.44444444444446,37.333333333333336,9.625017989633811
6,put the white mug on the plate and put the chocolate pudding to the right of the plate,1500,5,5,50,10,6,0.6,0.31267376973365824,0.8318196702937638,72.2,359.6,369.6,0.20077864293659622,4.972457912457912,17.992994664795695,252.66666666666666,51.0,13.014219814911485
7,put both the alphabet soup and the cream cheese box in the basket,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,58.6,291.8,301.8,0.2008224811514736,4.979698080296387,14.835643578972668,291.8,58.6,14.835643578972668
8,put both moka pots on the stove,1500,5,5,50,10,3,0.3,0.10779126740630099,0.6032218525388546,98.9,494.0,504.0,0.20020242914979758,4.994478675848738,17.309866118337958,433.3333333333333,87.0,17.4794018768395
9,put the yellow and white mug in the microwave and close it,1500,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,59.7,296.7,306.7,0.2012133468149646,4.96560779696494,11.778130058106035,271.8888888888889,54.77777777777778,11.22769314992345
