student_H,task_id,task_description,paired_episodes,teacher_success_rate,student_success_rate,replanning_gap
10,0,put both the alphabet soup and the tomato sauce in the basket,10,1.0,1.0,0.0
10,1,put both the cream cheese box and the butter in the basket,10,1.0,1.0,0.0
10,2,turn on the stove and put the moka pot on it,10,1.0,1.0,0.0
10,3,put the black bowl in the bottom drawer of the cabinet and close it,10,0.9,1.0,-0.1
10,4,put the white mug on the left plate and put the yellow and white mug on the right plate,10,0.9,0.9,0.0
10,5,pick up the book and place it in the back compartment of the caddy,10,1.0,1.0,0.0
10,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,10,0.9,1.0,-0.1
10,7,put both the alphabet soup and the cream cheese box in the basket,10,1.0,1.0,0.0
10,8,put both moka pots on the stove,10,0.5,0.8,-0.3
10,9,put the yellow and white mug in the microwave and close it,10,0.9,1.0,-0.1
