H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_id,task_description
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,62.3,310.0,320.0,0.20096774193548386,4.97561571860898,21.35134124299511,0,put both the alphabet soup and the tomato sauce in the basket
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,55.3,274.5,284.5,0.20145719489981784,4.963980749270223,19.974058273155244,1,put both the cream cheese box and the butter in the basket
5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,63.2,314.6,324.6,0.20089001907183726,4.97507262985655,21.13628155151382,2,turn on the stove and put the moka pot on it
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,51.6,255.6,265.6,0.20187793427230047,4.9496156576750625,18.767645083367825,3,put the black bowl in the bottom drawer of the cabinet and close it
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,49.2,243.7,253.7,0.2018875666803447,4.9528482302904795,13.11954243183136,4,put the white mug on the left plate and put the yellow and white mug on the right plate
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,40.8,201.2,211.2,0.20278330019880716,4.929063331563332,10.003348857257516,5,pick up the book and place it in the back compartment of the caddy
5,50,10,8,0.8,0.49016247153664183,0.9433178485456247,61.7,307.1,317.1,0.2009117551286226,4.972395221757898,15.2527035292238,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,58.4,291.0,301.0,0.2006872852233677,4.982439224001853,14.357362893596292,7,put both the alphabet soup and the cream cheese box in the basket
5,50,10,2,0.2,0.05668215145437519,0.5098375284633583,102.1,510.2,520.2,0.20011760094080752,4.996703296703297,17.708408782910556,8,put both moka pots on the stove
5,50,10,7,0.7,0.39677814746114537,0.8922087325936989,69.7,346.6,356.6,0.20109636468551645,4.965394911788133,12.231643955316395,9,put the yellow and white mug in the microwave and close it
30,50,10,0,0.0,0.0,0.2775327998628892,18.0,520.0,530.0,0.03461538461538462,28.888888888888893,12.471414860337973,0,put both the alphabet soup and the tomato sauce in the basket
30,50,10,0,0.0,0.0,0.2775327998628892,18.0,520.0,530.0,0.03461538461538462,28.888888888888893,12.11659877896309,1,put both the cream cheese box and the butter in the basket
30,50,10,0,0.0,0.0,0.2775327998628892,18.0,520.0,530.0,0.03461538461538462,28.888888888888893,11.18223020415753,2,turn on the stove and put the moka pot on it
30,50,10,3,0.3,0.10779126740630099,0.6032218525388546,16.8,488.0,498.0,0.03442622950819672,29.073353443941677,10.42090973360464,3,put the black bowl in the bottom drawer of the cabinet and close it
30,50,10,0,0.0,0.0,0.2775327998628892,18.0,520.0,530.0,0.03461538461538462,28.888888888888893,12.104982199333609,4,put the white mug on the left plate and put the yellow and white mug on the right plate
30,50,10,5,0.5,0.236593090512564,0.7634069094874361,13.6,390.5,400.5,0.03482714468629962,28.65467171717172,7.398306570760906,5,pick up the book and place it in the back compartment of the caddy
30,50,10,2,0.2,0.05668215145437519,0.5098375284633583,17.0,492.0,502.0,0.034552845528455285,28.964682539682542,10.506265367753803,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
30,50,10,0,0.0,0.0,0.2775327998628892,18.0,520.0,530.0,0.03461538461538462,28.888888888888893,11.121106106322259,7,put both the alphabet soup and the cream cheese box in the basket
30,50,10,0,0.0,0.0,0.2775327998628892,18.0,520.0,530.0,0.03461538461538462,28.888888888888893,11.05376782519743,8,put both moka pots on the stove
30,50,10,2,0.2,0.05668215145437519,0.5098375284633583,17.2,495.8,505.8,0.03469140782573618,28.80486111111111,9.658937193732708,9,put the yellow and white mug in the microwave and close it
