step,horizon,task_id,task_description,primary_novel_instruction,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds
0,5,0,close the top drawer of the cabinet,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,77.9104919411863
0,5,1,close the top drawer of the cabinet and put the black bowl on top of it,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,78.92238466379543
0,5,2,put the black bowl in the top drawer of the cabinet,True,5,50,3,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,60.666666666666664,301.3333333333333,311.3333333333333,0.2013274336283186,4.96141975308642,61.89051309724649
0,5,3,put the butter at the back in the top drawer of the cabinet and close it,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,76.84292503725737
0,5,4,put the butter at the front in the top drawer of the cabinet and close it,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,76.45325158908963
0,5,5,put the chocolate pudding in the top drawer of the cabinet and close it,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,79.50779498989384
0,5,6,open the bottom drawer of the cabinet,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,69.0254720672965
0,5,7,open the top drawer of the cabinet,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,69.83432094349216
0,5,8,open the top drawer of the cabinet and put the bowl in it,True,5,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,80.0,400.0,410.0,0.2,5.0,66.39886275989313
0,5,9,put the black bowl on the plate,True,5,50,3,3,1.0,0.4385029682449546,1.0,28.0,140.0,150.0,0.2,5.0,26.573399286096294
0,20,0,close the top drawer of the cabinet,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,70.5766842837135
0,20,1,close the top drawer of the cabinet and put the black bowl on top of it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,71.81873614899814
0,20,2,put the black bowl in the top drawer of the cabinet,True,20,50,3,3,1.0,0.4385029682449546,1.0,12.666666666666666,247.66666666666666,257.6666666666667,0.05114401076716016,19.563888888888886,45.93188376383235
0,20,3,put the butter at the back in the top drawer of the cabinet and close it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,70.62336254616578
0,20,4,put the butter at the front in the top drawer of the cabinet and close it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,68.24946978408843
0,20,5,put the chocolate pudding in the top drawer of the cabinet and close it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,70.7113897992919
0,20,6,open the bottom drawer of the cabinet,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,59.94920877584567
0,20,7,open the top drawer of the cabinet,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,59.88537989153216
0,20,8,open the top drawer of the cabinet and put the bowl in it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,61.30600737283627
0,20,9,put the black bowl on the plate,True,20,50,3,3,1.0,0.4385029682449546,1.0,8.333333333333334,152.33333333333334,162.33333333333334,0.05470459518599562,18.291666666666668,25.048161876077454
500,20,0,close the top drawer of the cabinet,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,72.5401442150275
500,20,1,close the top drawer of the cabinet and put the black bowl on top of it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,73.9113722903033
500,20,2,put the black bowl in the top drawer of the cabinet,True,20,50,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,19.0,377.3333333333333,387.3333333333333,0.05035335689045936,19.84313725490196,68.95681853871793
500,20,3,put the butter at the back in the top drawer of the cabinet and close it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,72.64012236117075
500,20,4,put the butter at the front in the top drawer of the cabinet and close it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,71.46119845472276
500,20,5,put the chocolate pudding in the top drawer of the cabinet and close it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,73.00901961016159
500,20,6,open the bottom drawer of the cabinet,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,62.705594466378294
500,20,7,open the top drawer of the cabinet,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,61.823045179247856
500,20,8,open the top drawer of the cabinet and put the bowl in it,True,20,50,3,0,0.0,5.551115123125783e-17,0.5614970317550454,20.0,400.0,410.0,0.05,20.0,60.716108239255846
500,20,9,put the black bowl on the plate,True,20,50,3,3,1.0,0.4385029682449546,1.0,8.333333333333334,159.0,169.0,0.05241090146750524,19.11255411255411,25.959567070317764
