task_id,initial_state_index,initial_state_sha256,action_blocks,executed_actions,first_update,last_update
0,10,3d3d9d05d5286e806cb1eb5204b610edfadd4826cf62221945de96080017521f,26,520,1,26
0,11,ba2534a7c11b670cc404739f4d443a1f2482a88abdc80967a305a3fb02cc0dab,20,388,53,72
0,12,28e4309e21e163e6add1878f5a1454aca6f3ccb42d73b82c13edf1963da861af,52,1040,101,326
0,13,0d62f1a788ac0ac87b332519b951c3b02ec7f6de4e5e9853b6d614c6972453bc,49,966,153,375
0,14,f24db0e2cbfd498ac6695575d39e6515afe3a5699f6ebfce61c4e853842c6273,52,1040,215,442
0,15,2198a61cadc377cccdfba4183a86430e91248ffe8cbfc02169c6a206b2b5d597,44,869,274,486
1,10,56ab809185b93966404f904d4ac7d9a9c632c79ef827bc02f47527a5c4ee71f5,26,520,1,26
1,11,0dfe96b1e64dcf8bbb340c196bbc54ab83a6e4562f4202b8bdf6b1e03e61c1e1,22,423,53,74
1,12,ea523419dc384735bfd796a6c90d231bb7090430dc16acc19253daa35535a8d7,52,1040,101,326
1,13,5d6dceaa4354cf219439e46719d509d3aeecd69c3d6aa2cbd27dc89d07f08c6c,32,609,153,367
1,14,bf0f972ee4b1a04902a2aac480aa33f2015dc2cd0fe83f53e5b02f0129dbd424,52,1040,221,444
1,15,511fa7197919c09d68a3f3dd4410cbe774a1fc0a2a0515655f7a3f05da407f20,37,722,283,489
2,10,bcbbfc3f4ff848fa82fd6e84eb33c0cd282a3640428f5e620b2f1e90c1537ac9,26,520,1,26
2,11,8e39b377c97c3e3d7c856e88aec00a29e2999ff2bd64d4344aa2fac2de525fed,26,520,73,98
2,12,fd14cc10cb2f9809a9715d26293e3d957658062f6ecbedc02b09a41f3a15a207,52,1040,101,326
2,13,16c939045a99916a942c4568229ea2b9962cf052f71765835b4ecde692b9974e,52,1040,169,392
2,14,cf4d4d2098cc3e0e9e616c304417f5eccf23d8eedacf926747d25c0ef18dec7b,52,1040,222,444
2,15,2f8ce53011ee8f88e9bec209a52cbbdb91a319630e99238fd2fe3d9159b25a4c,22,440,293,500
3,10,60a6bab58e7a16aadcdaa694c28c6189906083d38e1e87d80deee54d957f8b38,26,520,1,26
3,11,b64aa8256468dd26607499c18e71471ed7841c25206ef3e29a22c0f852fed150,26,520,75,100
3,12,013b1b187f2a10fc2e960e417084c72a2119ef179e79f1dca4aff9c675cd1708,36,701,101,314
3,13,56716f8a997dcc75ac16581309f8249f0a6d836d583f2352e5cbfee24585ac67,52,1040,170,393
3,14,8af71096d0e99a7570cb616db48d9fb8974e90ed0308763888b51d176fe58dcd,41,807,231,434
3,15,0eaf497a4317ea9a1511b2d9ebe2270b9a58d5e4c89d14424d6b8bf1c894b847,16,320,299,500
4,10,3edb3531c8608d503b7ed09762a16ce1e2bf7e0c592ecf9435f816e9abddaa33,26,520,27,52
4,11,2992234ce299d1905888f57f66e3ac258986d650c25212c5ccc866d20a69fd76,22,440,79,100
4,12,b7de529a00457970e4861597c44a297aecfefd4ff4a5a6b49c78cbe8c788cbf3,46,905,123,340
4,13,048cc33464bddf88aeb2c8ca5a3a717ceb58f77d2712ddd6136650c02dd89c2f,52,1040,179,401
4,14,afcb4b412c61afa025ea1573aa18f754dd5de8b5cc674f1edff511362a07b5b2,52,1040,241,460
4,15,147c0af2a2eb4ea025143dc1525bd637f2c6aa49064ca1273c7fb250fdcaa041,14,280,300,500
5,10,260d8225a73d6da36c629e814927643698955ae4ad8b1c27ddfa5d5cae288b2e,26,520,27,52
5,11,55f6f58e86ab6155279a0e9f46a88c322971bc513dcb20c6e3faa588f75499c8,13,250,79,91
5,12,a84f30095fa8cfb6c9de98108b95ed31fb3ed90c9b5c69e3f96efec8bf1227ae,52,1040,127,352
5,13,3cf05099c34d82da05877c87fc7e6c36d792718a620304f55479b422834394a2,22,409,179,390
5,14,858c8560c33f715375ce1ee735fa163c3efbf5a02cd297facae39077f8ec67d5,52,1040,247,468
5,15,e2c3e39a384097092759df23acfa7d1d06917156763619c5d573e766214b1e54,11,220,490,500
6,10,dca513118ef85b8f9696444da0e6f815a8b820ea975784359be93b1de00eff9e,26,520,27,52
6,11,970b9df3d049378964a85d6c700bdc957893b5f2c4064f14cd9d75b731fcdce2,9,180,92,100
6,12,46523f51d8301feef43e2fd623d093f7a90ba21a34f99a02608a63d9979fc81c,52,1040,127,352
6,13,cf80c21bb552757c5034ae5756c9329c827ee7a50498c4ed4c301d2fd822376f,52,1040,189,416
6,14,1e9f4d6026bb6187689d50ee588e6149355f8a65ab611603f58a53dd33273282,52,1040,248,470
7,10,c37f743d79e85c643fc604c0033edf471e7dac54980cebe6aba415e1f361a5d2,26,520,27,52
7,11,7167c3b38245caeaacaab61dabd275c62d42b919665f29958c05cec1e0b236ce,2,40,99,100
7,12,2725750cd101a651b46c63a5692a35711a8066ead9e77543e45878f10b601fba,52,1040,127,352
7,13,4d11e48d22e98ea74424f25956cc36ec290f61f3318a9fe6d485453406b870a4,52,1040,195,418
7,14,692fc61f00eef4b9b857f4ce51c7e82eee52a35284a3beb9f3affe9fef0a5a54,43,850,257,461
8,10,23c2a06f1eb0fa109064696194d99865a4d786d73b9b3f6bce6824826b121832,26,520,53,78
8,12,90f6b636fab352bb93e610c68aa453bf66951ab5f8cc4e7cae7541b652e51581,52,1040,143,366
8,13,27659da86784e44ac331ccf4a20e32a31c573a483c817aadb47b3e6cd02dc415,52,1040,196,419
8,14,18fa5ad91a544334f21070fb3d7993bccee28fb9980b03616ef4531ab75829fa,52,1040,267,486
9,10,77945c7715b2c09388b84e9f74865a5f64f21b98981ca672dfb94472438321b1,26,520,53,78
9,12,70d2ac248d89d07218716a17e42402aaad32a8fcd7abcb43d4d9115be38df028,52,1040,153,378
9,13,2e05ed8da570322d4bf8c90e3126b4ab246da807643675e760f2c57bb44ded98,43,851,205,418
9,14,10ae1859d87364ffaa6b90bc52737290f75ec9291b2194b0c1b67f6a8fb55f9e,52,1040,273,487
