split,step,suite,horizon,episodes_per_task,seed,initial_state_start,task_id,task_description,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds
confirmation,500,libero_10,20,10,27,30,0,put both the alphabet soup and the tomato sauce in the basket,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,18.0,349.3,359.3,0.051531634697967364,19.406134772090653,64.79160970710218
confirmation,500,libero_10,20,10,27,30,1,put both the cream cheese box and the butter in the basket,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,16.4,321.5,331.5,0.0510108864696734,19.57612745098039,58.101850662194195
confirmation,500,libero_10,20,10,27,30,2,turn on the stove and put the moka pot on it,20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,18.0,352.0,362.0,0.05113636363636364,19.455238095238094,81.89059727797284
confirmation,500,libero_10,20,10,27,30,3,put the black bowl in the bottom drawer of the cabinet and close it,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.4,278.6,288.6,0.05168700646087581,19.355882352941176,44.875538806337865
confirmation,500,libero_10,20,10,27,30,4,put the white mug on the left plate and put the yellow and white mug on the right plate,20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,19.2,377.3,387.3,0.0508878876225815,19.59320845004668,42.434965506382284
confirmation,500,libero_10,20,10,27,30,5,pick up the book and place it in the back compartment of the caddy,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,14.0,270.7,280.7,0.05171776874769117,19.241174242424243,37.35048732440919
confirmation,500,libero_10,20,10,27,30,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,20,50,10,1,0.1,0.017876213095072896,0.4041500267952385,25.4,507.1,517.1,0.050088739893512126,19.955000000000002,60.09845255101099
confirmation,500,libero_10,20,10,27,30,7,put both the alphabet soup and the cream cheese box in the basket,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,17.1,330.4,340.4,0.05175544794188862,19.31561274509804,52.39456203635782
confirmation,500,libero_10,20,10,27,30,8,put both moka pots on the stove,20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,25.2,501.8,511.8,0.0502192108409725,19.904891304347824,111.90242456281558
confirmation,500,libero_10,20,10,27,30,9,put the yellow and white mug in the microwave and close it,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,16.8,328.8,338.8,0.051094890510948905,19.535101540616246,44.784664631448685
confirmation,1000,libero_10,20,10,27,30,0,put both the alphabet soup and the tomato sauce in the basket,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,15.0,291.8,301.8,0.05140507196710076,19.46140873015873,54.949957087822256
confirmation,1000,libero_10,20,10,27,30,1,put both the cream cheese box and the butter in the basket,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.5,281.7,291.7,0.05147319843805467,19.432367216117214,51.39058615667746
confirmation,1000,libero_10,20,10,27,30,2,turn on the stove and put the moka pot on it,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,13.6,262.0,272.0,0.051908396946564885,19.265311355311358,61.95992775233462
confirmation,1000,libero_10,20,10,27,30,3,put the black bowl in the bottom drawer of the cabinet and close it,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,12.2,237.3,247.3,0.05141171512852929,19.458333333333332,38.29399979971349
confirmation,1000,libero_10,20,10,27,30,4,put the white mug on the left plate and put the yellow and white mug on the right plate,20,50,10,6,0.6,0.31267376973365824,0.8318196702937638,18.2,359.9,369.9,0.050569602667407614,19.683150183150182,39.764633329212664
confirmation,1000,libero_10,20,10,27,30,5,pick up the book and place it in the back compartment of the caddy,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,14.6,283.8,293.8,0.05144467935165609,19.403441558441557,38.92624309668317
confirmation,1000,libero_10,20,10,27,30,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,18.6,364.0,374.0,0.0510989010989011,19.452891402714933,43.6528583213687
confirmation,1000,libero_10,20,10,27,30,7,put both the alphabet soup and the cream cheese box in the basket,20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,17.9,352.3,362.3,0.05080896962815782,19.603273809523813,55.022191221266986
confirmation,1000,libero_10,20,10,27,30,8,put both moka pots on the stove,20,50,10,5,0.5,0.236593090512564,0.7634069094874361,24.4,483.1,493.1,0.05050714137859656,19.78723522853958,107.40121938828379
confirmation,1000,libero_10,20,10,27,30,9,put the yellow and white mug in the microwave and close it,20,50,10,4,0.4,0.16818032970623614,0.6873262302663417,21.5,426.2,436.2,0.050445800093852654,19.739349278172806,57.53392179301009
