subset,task_id,task_description,step,horizon,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
heldout_400,0,put both the alphabet soup and the tomato sauce in the basket,0,5,5,50,40,40,1.0,0.9123783988027135,1.0,63.9,317.45,327.45,0.2012915419751142,4.968219544752644,16.56621242329711,317.45,63.9,16.56621242329711
heldout_400,1,put both the cream cheese box and the butter in the basket,0,5,5,50,40,40,1.0,0.9123783988027135,1.0,57.75,286.9,296.9,0.20128964796096202,4.96787995956463,15.397768754357822,286.9,57.75,15.397768754357822
heldout_400,2,turn on the stove and put the moka pot on it,0,5,5,50,40,36,0.9,0.7694822477247771,0.9604204713173936,58.825,292.45,302.45,0.2011454949564028,4.96926061401935,15.135228280402952,267.1666666666667,53.80555555555556,13.874926840482253
heldout_400,3,put the black bowl in the bottom drawer of the cabinet and close it,0,5,5,50,40,38,0.95,0.8349612263085903,0.9861793326138516,52.3,259.475,269.475,0.2015608440119472,4.958208183630538,13.999830881672096,245.76315789473685,49.578947368421055,13.36413069465504
heldout_400,4,put the white mug on the left plate and put the yellow and white mug on the right plate,0,5,5,50,40,39,0.975,0.8711863103652591,0.9955731684973186,52.775,262.1,272.1,0.20135444486837084,4.96551003021365,14.218267331316019,255.48717948717947,51.46153846153846,13.933258839094869
heldout_400,5,pick up the book and place it in the back compartment of the caddy,0,5,5,50,40,39,0.975,0.8711863103652591,0.9955731684973186,44.925,222.65,232.65,0.20177408488659332,4.950114981779962,11.374006764375372,215.02564102564102,43.41025641025641,11.060223450185731
heldout_400,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,0,5,5,50,40,32,0.8,0.652426936536005,0.895000102745623,63.225,314.625,324.625,0.20095351609058404,4.9714442959769105,15.715887918008956,263.28125,53.03125,13.472024562594015
heldout_400,7,put both the alphabet soup and the cream cheese box in the basket,0,5,5,50,40,39,0.975,0.8711863103652591,0.9955731684973186,57.2,284.175,294.175,0.20128441981173573,4.967348069896424,14.099451051669893,278.12820512820514,56.0,13.796144460560754
heldout_400,8,put both moka pots on the stove,0,5,5,50,40,16,0.4,0.2634832568429192,0.5540410633965381,98.425,491.1,501.1,0.20041743025860315,4.988425448340406,16.318012191957678,447.75,90.0625,14.98441054225259
heldout_400,9,put the yellow and white mug in the microwave and close it,0,5,5,50,40,37,0.925,0.8013576647568946,0.9741639742254119,60.925,302.825,312.825,0.2011888054156691,4.9679276112581485,10.693711490958231,285.2162162162162,57.432432432432435,10.108273627044557
