H,actions_per_policy_call,condition,config_sha256,control_frequency_hz,env_steps,environment_metadata_sha256,episode_index,episode_seconds,episode_seed,flow_steps,inference_fingerprint,initial_observation_sha256,initial_state_sha256,initial_xml_comparison_sha256,initial_xml_sha256,paired_catalog,paired_catalog_identity_sha256,policy_calls,policy_query_seconds,prediction_horizon,renderer,reset_seconds,reused_record_source,seed,split,success,task_description,task_horizon,task_id,task_name,task_suite,training,video
20,19.97142857142857,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,699,08cee4803f50689b55533313f172c5e84bbfdfefefc0fcb667bcc74573fb7691,0,24.20475561451167,270000000,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,3b2d1e314a4b763535eef3a81ca6ae96ec2e256de7ead6877b6c5e16b0d6fbfd,a2245f1b979b00d7e17f5f37fc9f7e8c0d1f93a4999570bca3919cb679ab1dc3,49a4d05a5ff316db7cd20180deb104b88899bc3b291d6dc855dbc36fe9ef0ca1,4ef97c0c9608147f80f70a0013d804e691f5442f0622a2b96220a14e83d59e70,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,4cc8e7f562293e8dde39527898898a40c27864f9d953bb4680efa19854048bfa,35,2.5258858734741807,50,egl,8.445336836390197,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge door.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_000.mp4
20,19.875,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,636,29a476127b9fd3c96b6ec55bb5ee4bf8481912eb15cd2d52a8669d27550a5ac3,1,26.189445473253727,270000001,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,2394ee7c8e6211714e4cf0f71c9d3445fc0c35bde7074fd99e28573c0b4583f1,fbec73baf281ef1bc10b483ab64c03fe477f1b32683107969ed591f74e05270b,906288e339a4e4c2cc94f56b227260a2453b412a42e4e770b226d91253937f6a,760d627e16ae368fa7a5ffcc4bc935b9b200d06368968dbc240f2f3adc94a75e,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,7b473ffcd3ee24d352462742493be3106e43a90c6b9ec0c4e0d2066c1801d893,32,2.3156930124387145,50,egl,9.540174418129027,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge door.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_001.mp4
20,19.96,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,499,3bf99f0f25b4fe8e78d48a18bf8f3ea06f4f14e35041f3244d673fc477d04a07,2,19.2706116437912,270000002,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,11548711d81b4c823983d05bc1a183a09161cb3d4b2d57663fecdb99eec6a0df,87c8a49aa1d3a9e137c8a44d7e9ad33ea65de87403e7e45d2714ba25b644f21f,2424012057a2ad809efd05ceb7d731cd7baa6c44f7a8a0e2ec136c12f6569d1e,b6d614fa1068fc152409d22eec0d783018c2547e62490b2b87b0f7f9ff811888,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,a8bb40c6d08ee4084908fa143e1b6c7258e6c51126125f64ae186a170c3569d8,25,1.951147384941578,50,egl,7.910582301206887,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge door.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_002.mp4
20,19.742857142857144,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,691,417ac2968a48196d80c845a33981a0a93d2d6a7bb714dc4d6ec1b0f71ff30f93,3,26.23379593156278,270000003,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,35d5d70f6b4e9d3d712dd18e29220b85fdfc9fd62569dfe6fcdd1cd07b32c59a,fce03b38fea4b77e3064178ef8c88dec89baf9f6f61ccd0c1b6ab3f808e27b45,d972990845d79e961ab000220c2fb95cebedf4fb064a5f5fdbe05139362503d1,b712275196619eb5922e64caa5810ca0668437bcd68200cb0c5804adc32bd1bb,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,4cf32daffcaca09ba9d638c9eb7e2fac33ecb44e55f4bb1642bc5b15be027a32,35,2.60359650477767,50,egl,10.938745081424713,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge door.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_003.mp4
20,19.64,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,491,42b90f71aebc6dff6f5f993aba74a3d8819c776bd0fb8072c9e0148ec638d76f,4,19.28337170276791,270000004,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,5e627f7332b370d42e62556abab3b48f7e15da285a8d43127683636c92d1e453,dc253a3a9db1a76fc8977d665315c2acd0803322a8b50244bd791cffd2569da0,adea073cad265189f077c7ba8394afaf954cd665cae188aef9c3aa8b6c5c87cc,b9ae109c3c3d4a0aef4f2a8847114254f8b441996d31880e9151b9c55c066d3f,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,bcdbb6e43ed5ebace8703d17c42f53411fbfa07f32e84a3d3e287556d08cb4e7,25,2.2031130343675613,50,egl,10.865902286022902,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge doors.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_004.mp4
20,19.291666666666668,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,463,4c93c4c6b26258b02869a79323331dd639b61907645258bb861841ef500bde24,5,17.81195577979088,270000005,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,23a78af86a2874f6555dea5acca03e6a4e7fb00f836435b966d65f6df96ce921,e942422c7a72d10248f5365e1dfb6e56fbb5bddd57163b501e6d83edac4bc6ea,5e4b2b18f5c26163e10fa8f3276c761750fe898dde4a2990f853ef7b14503d9f,6d7020b55c56b89b4afe2e241636ddce25436ed1a8a147a5c9ef7d557c33111f,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,240828925e6a82212eb5c7ae4c1d64a4fca79b095462d7c85a15240e5402cef4,24,1.639017241075635,50,egl,10.436460886150599,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge doors.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_005.mp4
20,19.22222222222222,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,346,9ed88fdecf9d40b6d49ee80a57b740e6519baff7eb5b95343aa4400ff85bca0d,6,13.96332172024995,270000006,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,6de4970dbaef866236925202342ee084898d7aadf2c6052a76cd4fd8bc1ecf14,e51f87c61810818ef13e9f487455f9569f8ef04b170665a0e595572b674cead2,88992417996ccfb4697e269f002a2d98cb72de2f254f72e3e08896ca19f72c4a,a16dddcf0cb06b85bfecc88d582ed2439f29ac81134bf4e77c3d38e64427dc43,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,ec487574915ed98da4df56c398c24ecd42336da224eba9fce5b54e5d4f05f416,18,1.3663069494068623,50,egl,10.893166515044868,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge door.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_006.mp4
20,19.9,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,796,09fd20de77fa9d8fb69bb5f56928ac91b24b5063da34e24f1a7aa475b47a3fd3,7,32.27952807582915,270000007,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,481e46624eb1a2e423fd93e085f54e217bae961981fe3dcf1f2681e161effc21,b79557cac510765eb8c9e076dc84eace4f0c96df869bff4d8f6f5f1c68771c23,0481b832aa07855a175dc29e1011201f86ea20fd14edc18aa788329696ab08b9,6fc61f0d36bbb56c2b419f8d8c3e670c7d7c77cb29b42e7ea284c24225e8d5de,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,26f999e9520046c1a55789e64fc71288f57e7c3320b916a9218d25a4f5dc40df,40,3.1937724966555834,50,egl,11.457539167255163,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge doors.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_007.mp4
20,19.76923076923077,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,771,6a6f6b19feaaa8e2571a1657e3fd583a3e98d57b4511ccf7b40f894eddc0e3e3,8,28.950584354810417,270000008,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,cc4683ab409e6e9f4b24adfdf0413f7ebdaf9127fde2c869096c61677084f47a,d491618d21f30ae8ca9ccf9645df192899a5022652fb50c3b53c288d0dae8637,ee287f21fea0051093a984f288d842bb59449236dc134fbfd2f75b4e05d71fa5,796db870a6b30936fe599cb6fd8d365abe08f24f8c8711368e2d4739ba3c4ae0,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,b5d231965e0c309c95cf59daeb65846c1f742ceb67bbaec76f2a3c60e01b268f,39,3.1242870977148414,50,egl,9.937750619836152,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge doors.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_008.mp4
20,19.32,original_h20,cf1e315128c91094b25706f0ee7f2aea696e29b6c609af861429819abed5f6a3,20,483,4a2901cedae5594820d87cb6e2e3b74faac8d970d64a36a677b3757a6d7d0af2,9,18.027399791404605,270000009,10,5d4257fdfdbe4507721cf729208510a99f69b275b92c03744dc4289b70fee5d2,44384a06acabd98080b39a358eddbf18a3d7e6990abcb728b84bf251271b4cad,9a5bb053988f0127232cec6ecc68b58d90df594c65d7598700eff0816c747b3e,c935a78d1c1320c5db4bca87b7807c5feb8ba95190b6220f020341ef78f83947,35279478ce57b989a25315f5b2c81c74830788935217ea700c09680d45ba3358,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/paired_episodes,7b5a9137112a42f6f4e504899af096f27c8b7f7fee811fcf51163a6ce9d49026,25,2.01404545083642,50,egl,9.98030842654407,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/raw/original_h20/CloseFridge.jsonl,27,pretrain,True,Close the fridge doors.,900,0,CloseFridge,robocasa365_fixed10,False,/home/enmingzz/project/vla/frequency_vla/results/robocasa365_fixed10_500_retry1/h20/videos/original_h20/CloseFridge/episode_009.mp4
