H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_id,task_description
5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,64.8,322.8,332.8,0.20074349442379183,4.979582306392527,16.749898995272815,0,put both the alphabet soup and the tomato sauce in the basket
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,54.9,272.6,282.6,0.20139398385913426,4.964703414520285,14.688655893690884,1,put both the cream cheese box and the butter in the basket
5,50,10,8,0.8,0.49016247153664183,0.9433178485456247,64.0,318.1,328.1,0.20119459289531594,4.9643726557446906,15.923615532461554,2,turn on the stove and put the moka pot on it
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,49.1,243.3,253.3,0.20180846691327578,4.955036164893308,12.832882584258915,3,put the black bowl in the bottom drawer of the cabinet and close it
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,52.5,260.5,270.5,0.20153550863723607,4.95979405034325,13.905970709584654,4,put the white mug on the left plate and put the yellow and white mug on the right plate
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,39.5,194.7,204.7,0.20287621982537238,4.925016719702165,9.841742302197963,5,pick up the book and place it in the back compartment of the caddy
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,53.9,268.0,278.0,0.20111940298507464,4.973223980577396,13.784590262826532,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,58.2,289.0,299.0,0.2013840830449827,4.966345622098282,14.107360825128854,7,put both the alphabet soup and the cream cheese box in the basket
5,50,10,2,0.2,0.05668215145437519,0.5098375284633583,100.9,504.4,514.4,0.20003965107057892,4.998979591836735,17.718730125017466,8,put both moka pots on the stove
5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,61.6,306.6,316.6,0.2009132420091324,4.974702148356041,11.704261620063335,9,put the yellow and white mug in the microwave and close it
15,50,10,7,0.7,0.39677814746114537,0.8922087325936989,29.9,442.9,452.9,0.06750959584556333,14.809815807381023,12.280105719063432,0,put both the alphabet soup and the tomato sauce in the basket
15,50,10,10,1.0,0.7224672001371107,0.9999999999999999,22.5,331.1,341.1,0.06795530051344005,14.717517048169222,9.569637292809784,1,put both the cream cheese box and the butter in the basket
15,50,10,8,0.8,0.49016247153664183,0.9433178485456247,22.8,332.7,342.7,0.06853020739404869,14.553465184700887,8.952395653165876,2,turn on the stove and put the moka pot on it
15,50,10,10,1.0,0.7224672001371107,0.9999999999999999,18.9,277.8,287.8,0.06803455723542116,14.70507470722843,7.717612952180207,3,put the black bowl in the bottom drawer of the cabinet and close it
15,50,10,9,0.9,0.5958499732047615,0.9821237869049271,22.6,331.9,341.9,0.06809279903585418,14.666474519632416,9.517552858311683,4,put the white mug on the left plate and put the yellow and white mug on the right plate
15,50,10,9,0.9,0.5958499732047615,0.9821237869049271,16.9,246.6,256.6,0.06853203568532036,14.560209790209791,6.247277627978474,5,pick up the book and place it in the back compartment of the caddy
15,50,10,6,0.6,0.31267376973365824,0.8318196702937638,28.1,416.1,426.1,0.06753184330689738,14.791030208027346,10.892751181591303,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
15,50,10,10,1.0,0.7224672001371107,0.9999999999999999,21.6,318.1,328.1,0.06790317510216913,14.728161114248072,8.429841843992472,7,put both the alphabet soup and the cream cheese box in the basket
15,50,10,5,0.5,0.236593090512564,0.7634069094874361,33.4,495.4,505.4,0.06742026645135245,14.82941063964771,11.505798434093595,8,put both moka pots on the stove
15,50,10,8,0.8,0.49016247153664183,0.9433178485456247,25.6,376.9,386.9,0.06792252586893074,14.714770258980783,8.951278185658158,9,put the yellow and white mug in the microwave and close it
20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,24.3,484.3,494.3,0.050175511046871776,19.915,12.814220937807113,0,put both the alphabet soup and the tomato sauce in the basket
20,50,10,5,0.5,0.236593090512564,0.7634069094874361,24.3,480.7,490.7,0.05055127938423133,19.75297619047619,12.426645011734218,1,put both the cream cheese box and the butter in the basket
20,50,10,4,0.4,0.16818032970623614,0.6873262302663417,22.6,447.4,457.4,0.050514081358962896,19.73562091503268,10.704449552483856,2,turn on the stove and put the moka pot on it
20,50,10,7,0.7,0.39677814746114537,0.8922087325936989,20.5,403.5,413.5,0.05080545229244114,19.638771617342588,9.859455960895867,3,put the black bowl in the bottom drawer of the cabinet and close it
20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,24.9,494.7,504.7,0.05033353547604609,19.842657342657343,12.555740544106811,4,put the white mug on the left plate and put the yellow and white mug on the right plate
20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,15.8,308.9,318.9,0.051149239235998706,19.465019539284246,7.013116040546447,5,pick up the book and place it in the back compartment of the caddy
20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,23.5,466.0,476.0,0.05042918454935622,19.773993808049536,11.46011247523129,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,20.2,393.7,403.7,0.051308102616205234,19.47617428695353,9.432560301478953,7,put both the alphabet soup and the cream cheese box in the basket
20,50,10,0,0.0,0.0,0.2775327998628892,26.0,520.0,530.0,0.05,20.0,11.615489375032485,8,put both moka pots on the stove
20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,24.3,482.6,492.6,0.05035225859925404,19.83275515334339,9.990388210583479,9,put the yellow and white mug in the microwave and close it
