H,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_id,task_description
5,10,10,1.0,0.7224672001371107,0.9999999999999999,57.6,285.2,295.2,0.20196353436185133,4.949592929502207,11.63317900588736,0,put both the alphabet soup and the tomato sauce in the basket
5,10,10,1.0,0.7224672001371107,0.9999999999999999,50.2,249.5,259.5,0.20120240480961923,4.96944449281689,8.013916278630495,1,put both the cream cheese box and the butter in the basket
5,10,10,1.0,0.7224672001371107,0.9999999999999999,52.5,261.5,271.5,0.20076481835564053,4.980064034016058,7.4152172410395,2,turn on the stove and put the moka pot on it
5,10,9,0.9,0.5958499732047615,0.9821237869049271,51.7,256.5,266.5,0.20155945419103313,4.955077441368688,7.389327039336786,3,put the black bowl in the bottom drawer of the cabinet and close it
5,10,9,0.9,0.5958499732047615,0.9821237869049271,53.5,265.5,275.5,0.2015065913370998,4.9587903449207795,8.753225630754605,4,put the white mug on the left plate and put the yellow and white mug on the right plate
5,10,10,1.0,0.7224672001371107,0.9999999999999999,35.6,176.2,186.2,0.20204313280363223,4.9493286523774325,5.301079483283684,5,pick up the book and place it in the back compartment of the caddy
5,10,9,0.9,0.5958499732047615,0.9821237869049271,49.5,246.3,256.3,0.20097442143727162,4.972256808255861,7.466431967960671,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
5,10,10,1.0,0.7224672001371107,0.9999999999999999,55.9,277.5,287.5,0.20144144144144144,4.961309506581047,8.069437558297068,7,put both the alphabet soup and the cream cheese box in the basket
5,10,5,0.5,0.236593090512564,0.7634069094874361,93.2,464.6,474.6,0.20060266896254844,4.983436110509281,13.164002604177222,8,put both moka pots on the stove
5,10,9,0.9,0.5958499732047615,0.9821237869049271,60.7,301.4,311.4,0.20139349701393497,4.96202831205051,8.871578172920271,9,put the yellow and white mug in the microwave and close it
10,10,10,1.0,0.7224672001371107,0.9999999999999999,28.8,284.1,294.1,0.10137275607180571,9.854557872079612,7.568539797421545,0,put both the alphabet soup and the tomato sauce in the basket
10,10,10,1.0,0.7224672001371107,0.9999999999999999,25.0,245.8,255.8,0.10170870626525631,9.834269230769232,6.517570503475144,1,put both the cream cheese box and the butter in the basket
10,10,10,1.0,0.7224672001371107,0.9999999999999999,26.3,257.3,267.3,0.10221531286436067,9.780847275080408,5.852595222136006,2,turn on the stove and put the moka pot on it
10,10,10,1.0,0.7224672001371107,0.9999999999999999,22.9,223.7,233.7,0.10236924452391596,9.765009829140265,5.181377792684361,3,put the black bowl in the bottom drawer of the cabinet and close it
10,10,9,0.9,0.5958499732047615,0.9821237869049271,26.3,257.7,267.7,0.10205665502522313,9.772730313165097,7.028757295245304,4,put the white mug on the left plate and put the yellow and white mug on the right plate
10,10,10,1.0,0.7224672001371107,0.9999999999999999,17.5,170.4,180.4,0.10269953051643192,9.732466460268318,4.186254384834319,5,pick up the book and place it in the back compartment of the caddy
10,10,10,1.0,0.7224672001371107,0.9999999999999999,22.3,218.8,228.8,0.10191956124314443,9.810730573774052,5.762838689191267,6,put the white mug on the plate and put the chocolate pudding to the right of the plate
10,10,10,1.0,0.7224672001371107,0.9999999999999999,26.9,265.2,275.2,0.10143288084464555,9.852285319255907,6.38377624405548,7,put both the alphabet soup and the cream cheese box in the basket
10,10,8,0.8,0.49016247153664183,0.9433178485456247,42.2,418.0,428.0,0.10095693779904306,9.8995538451077,9.37620692118071,8,put both moka pots on the stove
10,10,10,1.0,0.7224672001371107,0.9999999999999999,25.9,254.8,264.8,0.10164835164835165,9.835549857549855,5.84370848974213,9,put the yellow and white mug in the microwave and close it
