split,step,suite,horizon,episodes_per_task,seed,initial_state_start,task_id,task_description,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds
screen,0,libero_10,5,5,17,20,0,put both the alphabet soup and the tomato sauce in the basket,5,50,5,4,0.8,0.37553462976252533,0.9637758913675698,67.6,336.6,346.6,0.20083184789067143,4.9765818858560795,16.760504634864628
screen,0,libero_10,5,5,17,20,1,put both the cream cheese box and the butter in the basket,5,50,5,4,0.8,0.37553462976252533,0.9637758913675698,63.0,313.8,323.8,0.20076481835564053,4.977138096006021,15.890255274623632
screen,0,libero_10,5,5,17,20,2,turn on the stove and put the moka pot on it,5,50,5,5,1.0,0.5655175352168251,1.0,50.6,250.0,260.0,0.2024,4.940072829131653,13.060454612225294
screen,0,libero_10,5,5,17,20,3,put the black bowl in the bottom drawer of the cabinet and close it,5,50,5,5,1.0,0.5655175352168251,1.0,47.8,237.0,247.0,0.20168776371308017,4.957702881889956,12.63849069699645
screen,0,libero_10,5,5,17,20,4,put the white mug on the left plate and put the yellow and white mug on the right plate,5,50,5,5,1.0,0.5655175352168251,1.0,51.2,253.6,263.6,0.20189274447949526,4.953466266437966,13.34954284094274
screen,0,libero_10,5,5,17,20,5,pick up the book and place it in the back compartment of the caddy,5,50,5,5,1.0,0.5655175352168251,1.0,36.4,181.4,191.4,0.20066152149944874,4.983174603174604,8.74189058355987
screen,0,libero_10,5,5,17,20,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,5,50,5,3,0.6,0.2307242812760128,0.882379225767352,68.0,338.4,348.4,0.20094562647754138,4.963993977037456,16.44157066438347
screen,0,libero_10,5,5,17,20,7,put both the alphabet soup and the cream cheese box in the basket,5,50,5,5,1.0,0.5655175352168251,1.0,57.4,285.0,295.0,0.20140350877192983,4.964406033885163,14.351891691796482
screen,0,libero_10,5,5,17,20,8,put both moka pots on the stove,5,50,5,1,0.2,0.03622410863243014,0.6244653702374747,100.0,499.2,509.2,0.20032051282051283,4.9904761904761905,18.44251796696335
screen,0,libero_10,5,5,17,20,9,put the yellow and white mug in the microwave and close it,5,50,5,5,1.0,0.5655175352168251,1.0,61.8,306.4,316.4,0.20169712793733682,4.958937022710113,11.556005056388676
